algorithm,scenario_index,run_id,source,dest,bandwidth_requirement,path,total_cost,delay_ms,reliability_cost,resource_cost
QLearning,9,2,70,160,200.0,"[70, 160]",2.735425442274601,3.1074505828089083,0.0122098174195667,5.890186028221386
QLearning,9,3,70,160,200.0,"[70, 160]",2.735425442274601,3.1074505828089083,0.0122098174195667,5.890186028221386
QLearning,9,4,70,160,200.0,"[70, 160]",2.735425442274601,3.1074505828089083,0.0122098174195667,5.890186028221386
QLearning,10,0,80,150,250.0,"[80, 76, 150]",11.099287360480243,21.216683535579996,0.06801540144355933,2.3527048612858845
QLearning,10,1,80,150,250.0,"[80, 76, 150]",11.099287360480243,21.216683535579996,0.06801540144355933,2.3527048612858845
QLearning,10,2,80,150,250.0,"[80, 76, 150]",11.099287360480243,21.216683535579996,0.06801540144355933,2.3527048612858845
QLearning,10,3,80,150,250.0,"[80, 76, 150]",11.099287360480243,21.216683535579996,0.06801540144355933,2.3527048612858845
QLearning,10,4,80,150,250.0,"[80, 76, 150]",11.099287360480243,21.216683535579996,0.06801540144355933,2.3527048612858845
QLearning,11,0,90,140,300.0,"[90, 75, 140]",8.16537685125877,13.406371051862855,0.028301666057491414,7.2685041275504805
QLearning,11,1,90,140,300.0,"[90, 75, 140]",8.16537685125877,13.406371051862855,0.028301666057491414,7.2685041275504805
QLearning,11,2,90,140,300.0,"[90, 75, 140]",8.16537685125877,13.406371051862855,0.028301666057491414,7.2685041275504805
QLearning,11,3,90,140,300.0,"[90, 75, 140]",8.16537685125877,13.406371051862855,0.028301666057491414,7.2685041275504805
QLearning,11,4,90,140,300.0,"[90, 75, 140]",8.16537685125877,13.406371051862855,0.028301666057491414,7.2685041275504805
QLearning,12,0,100,130,350.0,"[100, 0, 130]",10.608833008903012,19.858311087501487,0.09952635182974337,3.2490977980167246
QLearning,12,1,100,130,350.0,"[100, 0, 130]",10.608833008903012,19.858311087501487,0.09952635182974337,3.2490977980167246
QLearning,12,2,100,130,350.0,"[100, 0, 130]",10.608833008903012,19.858311087501487,0.09952635182974337,3.2490977980167246
QLearning,12,3,100,130,350.0,"[100, 0, 130]",10.608833008903012,19.858311087501487,0.09952635182974337,3.2490977980167246
QLearning,12,4,100,130,350.0,"[100, 0, 130]",10.608833008903012,19.858311087501487,0.09952635182974337,3.2490977980167246
QLearning,13,0,110,120,400.0,"[110, 89, 120]",7.802085291683142,13.851790430047885,0.05843468608341768,4.2932983541708705
QLearning,13,1,110,120,400.0,"[110, 89, 120]",7.802085291683142,13.851790430047885,0.05843468608341768,4.2932983541708705
QLearning,13,2,110,120,400.0,"[110, 89, 120]",7.802085291683142,13.851790430047885,0.05843468608341768,4.2932983541708705
QLearning,13,3,110,120,400.0,"[110, 89, 120]",7.802085291683142,13.851790430047885,0.05843468608341768,4.2932983541708705
QLearning,13,4,110,120,400.0,"[110, 89, 120]",7.802085291683142,13.851790430047885,0.05843468608341768,4.2932983541708705
QLearning,14,0,20,30,100.0,"[20, 30]",4.844046596650927,9.176808368844474,0.04396528257124545,1.2122641372865854
QLearning,14,1,20,30,100.0,"[20, 30]",4.844046596650927,9.176808368844474,0.04396528257124545,1.2122641372865854
QLearning,14,2,20,30,100.0,"[20, 30]",4.844046596650927,9.176808368844474,0.04396528257124545,1.2122641372865854
QLearning,14,3,20,30,100.0,"[20, 30]",4.844046596650927,9.176808368844474,0.04396528257124545,1.2122641372865854
QLearning,14,4,20,30,100.0,"[20, 30]",4.844046596650927,9.176808368844474,0.04396528257124545,1.2122641372865854
QLearning,15,0,45,210,450.0,"[45, 35, 210]",11.496815870248687,19.59910203804923,0.037375176322990956,8.430261491635875
QLearning,15,1,45,210,450.0,"[45, 35, 210]",11.496815870248687,19.59910203804923,0.037375176322990956,8.430261491635875
QLearning,15,2,45,210,450.0,"[45, 35, 210]",11.496815870248687,19.59910203804923,0.037375176322990956,8.430261491635875
QLearning,15,3,45,210,450.0,"[45, 35, 210]",11.496815870248687,19.59910203804923,0.037375176322990956,8.430261491635875
QLearning,15,4,45,210,450.0,"[45, 35, 210]",11.496815870248687,19.59910203804923,0.037375176322990956,8.430261491635875
QLearning,16,0,77,155,200.0,"[77, 59, 155]",12.186252274183635,23.251866491736664,0.11688813561653175,2.6262629381517257
QLearning,16,1,77,155,200.0,"[77, 59, 155]",12.186252274183635,23.251866491736664,0.11688813561653175,2.6262629381517257
QLearning,16,2,77,155,200.0,"[77, 59, 155]",12.186252274183635,23.251866491736664,0.11688813561653175,2.6262629381517257
QLearning,16,3,77,155,200.0,"[77, 59, 155]",12.186252274183635,23.251866491736664,0.11688813561653175,2.6262629381517257
QLearning,16,4,77,155,200.0,"[77, 59, 155]",12.186252274183635,23.251866491736664,0.11688813561653175,2.6262629381517257
QLearning,17,0,88,166,300.0,"[88, 166]",2.997172684852807,5.355349189046193,0.029292002138032614,1.5535524484415022
QLearning,17,1,88,166,300.0,"[88, 166]",2.997172684852807,5.355349189046193,0.029292002138032614,1.5535524484415022
QLearning,17,2,88,166,300.0,"[88, 166]",2.997172684852807,5.355349189046193,0.029292002138032614,1.5535524484415022
QLearning,17,3,88,166,300.0,"[88, 166]",2.997172684852807,5.355349189046193,0.029292002138032614,1.5535524484415022
QLearning,17,4,88,166,300.0,"[88, 166]",2.997172684852807,5.355349189046193,0.029292002138032614,1.5535524484415022
QLearning,18,0,99,177,350.0,"[99, 177]",3.831179399719635,6.999922526983825,0.04574479822290765,1.5874734838042492
QLearning,18,1,99,177,350.0,"[99, 177]",3.831179399719635,6.999922526983825,0.04574479822290765,1.5874734838042492
QLearning,18,2,99,177,350.0,"[99, 177]",3.831179399719635,6.999922526983825,0.04574479822290765,1.5874734838042492
QLearning,18,3,99,177,350.0,"[99, 177]",3.831179399719635,6.999922526983825,0.04574479822290765,1.5874734838042492
QLearning,18,4,99,177,350.0,"[99, 177]",3.831179399719635,6.999922526983825,0.04574479822290765,1.5874734838042492
QLearning,19,0,123,200,250.0,"[123, 0, 200]",7.15962054829518,12.298065986070661,0.11964247103125489,4.87347406975237
QLearning,19,1,123,200,250.0,"[123, 0, 200]",7.15962054829518,12.298065986070661,0.11964247103125489,4.87347406975237
QLearning,19,2,123,200,250.0,"[123, 0, 200]",7.15962054829518,12.298065986070661,0.11964247103125489,4.87347406975237
QLearning,19,3,123,200,250.0,"[123, 0, 200]",7.15962054829518,12.298065986070661,0.11964247103125489,4.87347406975237
QLearning,19,4,123,200,250.0,"[123, 0, 200]",7.15962054829518,12.298065986070661,0.11964247103125489,4.87347406975237
